Name,State,State_ID,Latitude,Longitude,Population,Density,Timezone,join_key
St Cloud,Minnesota,MN,45.5579,-94.1632,68000,800.0,America/Chicago,ST CLOUD_MN
St George,Utah,UT,37.0965,-113.5684,95000,500.0,America/Denver,ST GEORGE_UT
St Louis,Missouri,MO,38.627,-90.1994,300000,1800.0,America/Chicago,ST LOUIS_MO
St. Augustine,Florida,FL,298.977,-81.31,82180,629.0,America/New_York,ST. AUGUSTINE_FL
State College,Pennsylvania,PA,407.909,-778.568,87723,3572.0,America/New_York,STATE COLLEGE_PA
Sydney,New South Wales,NSW,-338.688,1.512.093,5312000,430.0,Australia/Sydney,SYDNEY_NSW
Syracuse,New York,NY,430.409,-761.438,404223,2195.0,America/New_York,SYRACUSE_NY
São Paulo,Brazil,BR,-23.5505,-46.6333,12300000,7000.0,America/Sao_Paulo,SÃO PAULO_BR
Taipei,Taoyuan,TW,25.033,121.5654,2600000,9600.0,Asia/Taipei,TAIPEI_TAOYUAN
Tallahassee,Florida,FL,304.551,-842.526,257601,747.0,America/New_York,TALLAHASSEE_FL
Tampa,Florida,FL,279.942,-824.451,2908063,1353.0,America/New_York,TAMPA_FL
Texarkana,Arkansas,AR,334.361,-93.996,29657,273.0,America/Chicago,TEXARKANA_AR
Tokyo,Tokyo,Tokyo,356.762,1.396.503,37274000,6300.0,Asia/Tokyo,TOKYO_TOKYO
Toledo,Ohio,OH,416.639,-835.822,482111,1308.0,America/New_York,TOLEDO_OH
Traverse City,Michigan,MI,447.547,-856.035,50522,729.0,America/Detroit,TRAVERSE CITY_MI
Trenton,New Jersey,NJ,402.236,-747.641,290716,4238.0,America/New_York,TRENTON_NJ
Tucson,Arizona,AZ,321.545,-1.108.782,888486,889.0,America/Phoenix,TUCSON_AZ
Tulsa,Oklahoma,OK,361.284,-959.042,671033,784.0,America/Chicago,TULSA_OK
Twin Falls,Idaho,ID,425.645,-1.144.615,55556,1008.0,America/Boise,TWIN FALLS_ID
Tyler,Texas,TX,323.184,-953.062,143796,718.0,America/Chicago,TYLER_TX
Valdosta,Georgia,GA,308.502,-832.788,79820,606.0,America/New_York,VALDOSTA_GA
Valparaiso,Florida,FL,304.926,-865.079,5401,176.0,America/Chicago,VALPARAISO_FL
Vernal,Utah,UT,404.517,-1.095.379,19893,871.0,America/Denver,VERNAL_UT
Waco,Texas,TX,315.598,-971.881,192315,605.0,America/Chicago,WACO_TX
Waterloo,Iowa,IA,42.492,-923.522,111631,423.0,America/Chicago,WATERLOO_IA
West Palm Beach,Florida,FL,267.468,-801.316,111955,803.0,America/New_York,WEST PALM BEACH_FL
West Yellowstone,Montana,MT,446.627,-1.111.057,1376,673.0,America/Denver,WEST YELLOWSTONE_MT
White Plains,New York,NY,41.022,-737.549,58109,2291.0,America/New_York,WHITE PLAINS_NY
Wichita,Kansas,KS,376.896,-973.442,482249,931.0,America/Chicago,WICHITA_KS
Wichita Falls,Texas,TX,339.072,-985.291,104683,561.0,America/Chicago,WICHITA FALLS_TX
Wilkes-Barre/Scranton,Pennsylvania,PA,41.3385,-75.7234,117000,1000.0,America/New_York,WILKES-BARRE/SCRANTON_PA
Williston,North Dakota,ND,481.814,-1.036.364,29844,483.0,America/Chicago,WILLISTON_ND
Wilmington,Delaware,DE,39.7447,-75.5484,70635,2500.0,America/New_York,WILMINGTON_DE
Wilmington,North Carolina,NC,34.21,-778.866,255616,929.0,America/New_York,WILMINGTON_NC
Windsor Locks,Connecticut,CT,41.9245,-72.6869,12900,400.0,America/New_York,WINDSOR LOCKS_CT
Worcester,Massachusetts,MA,422.705,-718.079,498328,1916.0,America/New_York,WORCESTER_MA
Wrangell,Alaska,AK,563.317,-1.320.223,2502,0.0,America/Sitka,WRANGELL_AK
Yakutat,Alaska,AK,59.567,-1.395.966,649,2.0,America/Yakutat,YAKUTAT_AK
Yuma,Arizona,AZ,325.992,-1.145.488,142847,313.0,America/Phoenix,YUMA_AZ
