ORIGIN_AIRPORT,DESTINATION_AIRPORT,num_voli,mean_scheduled_time
BUF,ATL,1567,133.8691767708998
BUF,BOS,1224,79.88888888888889
BUF,BWI,1784,73.24831838565022
BUF,CLT,1195,115.54225941422594
BUF,DTW,826,75.56658595641646
BUF,EWR,517,84.04448742746615
BUF,FLL,583,189.3327615780446
BUF,JFK,2413,86.42809780356403
BUF,LAS,544,298.85110294117646
BUF,LGA,340,86.10588235294118
BUF,MCO,1518,162.08827404479578
BUF,MDW,946,105.65856236786469
BUF,MSP,197,135.72081218274113
BUF,ORD,1949,110.95741405849154
BUF,PHX,331,295.9214501510574
BUF,RSW,77,183.24675324675326
BUF,TPA,556,168.79496402877697
BUR,DEN,1235,139.2485829959514
BUR,JFK,332,313.3644578313253
BUR,LAS,3034,61.08108108108108
BUR,OAK,3670,70.89373297002724
BUR,PDX,954,134.25262054507337
BUR,PHX,1881,80.99149388623073
BUR,SEA,1011,149.59940652818992
BUR,SFO,1555,84.49967845659164
BUR,SJC,2078,64.65591915303176
BUR,SLC,828,112.0036231884058
BUR,SMF,2086,74.43432406519655
BWI,ABQ,505,260.2772277227723
BWI,ALB,1671,71.3734290843806
BWI,ATL,5790,119.36977547495682
BWI,AUS,622,220.89228295819936
BWI,BDL,2162,69.11655874190565
BWI,BHM,580,127.26724137931035
BWI,BNA,1855,115.91374663072776
BWI,BOS,4339,82.58239225628024
BWI,BUF,1779,67.98201236649803
BWI,CHS,1015,99.70443349753694
BWI,CLE,1177,74.66015293118097
BWI,CLT,3334,88.72735452909419
BWI,CMH,1400,79.75357142857143
BWI,DAL,1078,203.28849721706865
BWI,DAY,687,89.32314410480349
BWI,DEN,1891,245.10787942887362
BWI,DFW,1754,208.31527936145952
BWI,DTW,2401,94.73635985006247
BWI,ECP,209,138.34928229665073
BWI,EWR,236,68.36864406779661
BWI,FLL,3947,156.8249303268305
BWI,FNT,532,93.82518796992481
BWI,GRR,640,105.2421875
BWI,GSP,372,91.46505376344086
BWI,HOU,1049,209.77121067683507
BWI,IAH,988,203.51518218623482
BWI,IND,1012,105.43972332015811
BWI,ISP,1506,63.223771580345286
BWI,JAX,1098,122.75956284153006
BWI,JFK,319,71.25705329153605
BWI,LAS,1708,316.7874707259953
BWI,LAX,1106,346.55786618444847
BWI,LIT,309,157.92880258899677
BWI,MCI,770,169.53896103896105
BWI,MCO,3072,141.33268229166666
BWI,MDW,1918,124.7497393117831
BWI,MEM,387,146.9638242894057
BWI,MHT,2176,79.61626838235294
BWI,MIA,1090,163.74128440366974
BWI,MKE,849,122.87396937573617
BWI,MSP,1035,161.3951690821256
BWI,MSY,822,173.58880778588806
BWI,MYR,201,80.44776119402985
BWI,OAK,322,365.7142857142857
BWI,OKC,329,198.72340425531914
BWI,ORD,2403,133.1960049937578
BWI,ORF,1134,54.060846560846564
BWI,PBI,967,151.48914167528437
BWI,PDX,62,340.0
BWI,PHX,1596,306.9486215538847
BWI,PIT,949,59.13593256059009
BWI,PVD,2460,72.0060975609756
BWI,PWM,983,84.9643947100712
BWI,RDU,1923,68.22932917316693
BWI,ROC,708,70.11299435028249
BWI,RSW,1213,162.62572135201978
BWI,SAN,708,338.09322033898303
BWI,SAT,786,228.03435114503816
BWI,SDF,1115,105.92825112107623
BWI,SEA,694,351.1152737752161
BWI,SFO,291,361.1408934707904
BWI,SJU,621,244.12238325281803
BWI,SLC,989,288.30637007077854
BWI,STL,1200,136.94166666666666
BWI,TPA,2154,147.669452181987
BZN,ATL,97,228.50515463917526
BZN,DEN,856,100.39018691588785
BZN,LAX,140,160.53571428571428
BZN,MSP,688,134.50726744186048
BZN,ORD,245,179.28163265306122
BZN,PDX,115,111.2695652173913
BZN,SEA,115,117.05217391304348
BZN,SFO,182,152.55494505494505
BZN,SLC,1059,77.8356940509915
CAE,ATL,2677,67.25140082181547
CAE,DFW,941,172.82890541976622
CAE,IAD,186,86.89784946236558
CAE,IAH,285,163.2280701754386
CAE,LGA,406,119.1871921182266
CAE,ORD,582,130.4982817869416
CAK,ATL,2032,110.97588582677166
CAK,BOS,295,98.83050847457628
CAK,DCA,269,70.78066914498142
CAK,DEN,271,203.76383763837637
CAK,DTW,188,60.670212765957444
CAK,EWR,117,90.32478632478633
CAK,LGA,491,88.78818737270876
CAK,MCO,544,145.7996323529412
CAK,ORD,1211,87.75557390586292
CAK,RSW,195,162.74358974358975
CAK,TPA,373,147.03753351206436
CDC,SLC,572,59.94580419580419
CDG,DFW,1,591.0
CDG,IAH,1,603.0
CDG,SEA,1,527.0
